stop_ticks,stop_slippage_ticks,seed,train_mean,holdout_trades,holdout_win_rate,holdout_mean,holdout_rr,holdout_skew,wf_min,mc_pass_rate,mc_ev,mc_fail_mll,mc_fail_no_target,mc_avg_trades
20,1,20260719,-3.775532334384858,1741,0.47673750717978175,-2.727455485353245,0.8845638008586295,0.08634345176445919,-4.260095011876484,0.0314,-20.531400000000005,0.0,0.9509,28.5952
20,1,20260720,-4.648341887090407,1739,0.46808510638297873,-3.1477860839562966,0.886081302894661,0.11899185384894928,-4.426032110091743,0.0264,-33.02640000000001,0.0,0.9609,27.2269
20,1,20260721,-2.590370955011839,1740,0.4666666666666667,-3.2083333333333335,0.8865601919070767,0.12365529346747768,-3.9480088495575223,0.0282,-28.528200000000012,0.0,0.9586,27.1977
20,2,20260702,-4.551438707134411,1737,0.45826137017846863,-4.263529073114565,0.8500966890798163,0.15479048399446,-4.8723776223776225,0.0127,-67.2627,0.0,0.9777,23.4872
20,2,20260703,-3.582249802994484,1743,0.46758462421113023,-3.7703671830177856,0.851155103376166,0.11699675449746706,-5.5843091334894615,0.0176,-55.01760000000001,0.0,0.971,25.0722
20,2,20260704,-3.931306750888275,1733,0.46105020196191576,-4.133294864397,0.8494195633413695,0.14495504443777676,-5.596238938053097,0.0138,-64.5138,0.0,0.9775,24.0071
20,2,20260705,-4.254633280757098,1735,0.4697406340057637,-3.7255043227665707,0.8465711810705937,0.112385272911706,-4.469267139479905,0.0232,-41.0232,0.0,0.9641,25.2747
20,2,20260706,-4.4291206624605675,1736,0.49078341013824883,-2.5920218894009217,0.8491999137422319,0.02688403450790529,-4.810840707964601,0.0442,11.45580000000001,0.0,0.9362,28.8633
20,2,20260707,-4.687894321766562,1741,0.4830557151062608,-3.0483917288914415,0.8457207766101874,0.060672863631295336,-4.130530973451328,0.0327,-17.282700000000006,0.0,0.9522,27.1906
20,2,20260708,-3.393491124260355,1742,0.4695752009184845,-3.7303386911595866,0.8466003698163013,0.11264020517904495,-4.718463302752293,0.0194,-50.519400000000005,0.0,0.9696,25.2811
20,2,20260709,-3.8445544554455444,1738,0.47583429228998847,-3.3892405063291138,0.8477781460310063,0.08760046407654623,-4.640661938534279,0.0232,-41.0232,0.0,0.9644,25.9214
20,2,20260710,-3.7444794952681386,1734,0.46655132641291813,-3.9714532871972317,0.8411825654535583,0.1312178646522949,-4.368362831858407,0.0164,-58.0164,0.0,0.9739,24.5206
20,2,20260711,-4.362391646966115,1741,0.4652498564043653,-3.9408385985066055,0.84728089771794,0.12970375374070184,-5.09037558685446,0.0169,-56.7669,0.0,0.9728,24.5381
20,2,20260712,-3.3928712480252763,1738,0.46777905638665135,-3.825086306098964,0.8464804442017656,0.12068123604402635,-5.67816091954023,0.0167,-57.2667,0.0,0.9726,24.9615
20,2,20260713,-4.011857707509882,1738,0.498849252013809,-2.23849252013809,0.8450753016703069,-0.0011211203991560368,-3.5319767441860463,0.0529,33.197100000000006,0.0,0.9241,29.6194
20,2,20260714,-3.7498029168309026,1735,0.4674351585014409,-3.876801152737752,0.844433096640357,0.12314126648924327,-4.680715935334873,0.0182,-53.5182,0.0,0.9715,24.8422
20,2,20260715,-4.51232741617357,1737,0.47322970639032813,-3.5021588946459414,0.8491940004011683,0.09575588365940045,-4.4317660550458715,0.0216,-45.02160000000001,0.0,0.965,25.5699
20,2,20260716,-4.391308632242806,1740,0.46436781609195404,-4.094827586206897,0.8403162831476808,0.1399403399344201,-4.3628318584070795,0.015,-61.515,0.0,0.9771,24.1934
20,2,20260717,-3.3357736446379107,1739,0.4675100632547441,-3.822024151811386,0.8475006397285874,0.12034016608177878,-6.19358407079646,0.0175,-55.26749999999999,0.0,0.9726,24.7385
20,2,20260718,-3.647233201581028,1736,0.47580645161290325,-3.3754320276497696,0.8487922452709449,0.08612656633208868,-5.894911504424779,0.0277,-29.777699999999996,0.0,0.9586,26.3431
20,2,20260719,-4.4394716088328074,1741,0.47673750717978175,-3.367892016082711,0.8460082855168769,0.08522793342191433,-4.937054631828978,0.0267,-32.276700000000005,0.0,0.9599,26.3059
20,2,20260720,-5.332806948282669,1739,0.46808510638297873,-3.7997412305922946,0.8474244610608248,0.1179884664317947,-5.111238532110092,0.0189,-51.7689,0.0,0.9705,25.0907
20,2,20260721,-3.223756906077348,1740,0.4666666666666667,-3.860632183908046,0.8479000636676985,0.12253104405213688,-4.622787610619469,0.0182,-53.5182,0.0,0.9705,24.9164
