strategy,instrument,filter,session,entry_ts,side,signal_price,entry_price,target_price,stop_price,target_ticks,stop_ticks,exit_ts,exit_price,reason,gross_pnl,pnl,theoretical_gross_win
trend_pullback,ES,volatility+time_of_day,2026-02-06,2026-02-06 14:52:00+00:00,1,6906.0,6906.25,6912.25,6901.0,25,20,2026-02-06 14:53:00+00:00,6900.75,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2026-02-09,2026-02-09 14:46:00+00:00,1,6956.5,6956.75,6962.75,6951.5,25,20,2026-02-09 14:47:00+00:00,6951.25,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2026-02-09,2026-02-09 14:48:00+00:00,1,6955.75,6956.0,6962.0,6950.75,25,20,2026-02-09 14:50:00+00:00,6950.5,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2026-02-09,2026-02-09 15:04:00+00:00,1,6953.75,6954.0,6960.0,6948.75,25,20,2026-02-09 15:07:00+00:00,6960.0,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2026-02-10,2026-02-10 14:45:00+00:00,-1,6979.0,6978.75,6972.75,6984.0,25,20,2026-02-10 14:50:00+00:00,6984.25,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2026-02-10,2026-02-10 14:53:00+00:00,1,6990.25,6990.5,6996.5,6985.25,25,20,2026-02-10 14:55:00+00:00,6996.5,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2026-02-10,2026-02-10 14:57:00+00:00,1,6999.25,6999.5,7005.5,6994.25,25,20,2026-02-10 15:13:00+00:00,6994.0,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2026-02-11,2026-02-11 14:57:00+00:00,-1,6984.0,6983.75,6977.75,6989.0,25,20,2026-02-11 14:59:00+00:00,6977.75,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2026-02-11,2026-02-11 15:02:00+00:00,-1,6975.25,6975.0,6969.0,6980.25,25,20,2026-02-11 15:09:00+00:00,6969.0,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2026-02-11,2026-02-11 15:11:00+00:00,-1,6960.0,6959.75,6953.75,6965.0,25,20,2026-02-11 15:12:00+00:00,6953.75,target,300.0,296.5,312.5
