entry_ts,exit_ts,side,entry_price,exit_price,stop_price,target_price,pnl,reason,session
2025-02-26 09:49:00,2025-02-26 13:28:00,1,21277.5,21193.75,21194.0,21528.0,-168.5,stop,2025-02-26
2025-02-28 09:48:00,2025-02-28 09:55:00,1,20617.75,20571.25,20571.5,20756.5,-94.0,stop,2025-02-28
2025-03-03 09:48:00,2025-03-03 09:55:00,-1,20980.75,20896.75,21008.75,20896.75,167.0,target,2025-03-03
2025-03-06 10:03:00,2025-03-06 11:58:00,1,20354.0,20253.0,20253.25,20656.25,-203.0,stop,2025-03-06
2025-03-11 09:39:00,2025-03-11 09:42:00,1,19537.25,19478.75,19479.0,19712.0,-118.0,stop,2025-03-11
2025-03-12 09:51:00,2025-03-12 09:52:00,-1,19667.0,19700.5,19700.25,19567.25,-68.0,stop,2025-03-12
2025-03-13 10:28:00,2025-03-13 12:47:00,-1,19489.0,19243.75,19570.75,19243.75,489.5,target,2025-03-13
2025-03-14 09:43:00,2025-03-14 09:58:00,1,19574.0,19548.5,19548.75,19649.75,-52.0,stop,2025-03-14
2025-03-20 09:57:00,2025-03-20 10:00:00,1,19906.5,19947.75,19892.75,19947.75,81.5,target,2025-03-20
2025-03-21 10:43:00,2025-03-21 15:55:00,1,19726.25,19916.75,19662.75,19916.75,380.0,target,2025-03-21
2025-04-01 09:51:00,2025-04-01 09:52:00,1,19450.75,19426.5,19426.75,19522.75,-49.5,stop,2025-04-01
2025-04-09 09:48:00,2025-04-09 10:51:00,1,17381.0,17303.0,17303.25,17614.25,-157.0,stop,2025-04-09
2025-04-10 10:10:00,2025-04-10 10:24:00,-1,18614.75,18715.5,18715.25,18313.25,-202.5,stop,2025-04-10
2025-04-15 10:43:00,2025-04-15 13:23:00,1,19070.25,18925.25,18925.5,19504.5,-291.0,stop,2025-04-15
2025-04-29 10:01:00,2025-04-29 15:55:00,1,19530.0,19642.25,19469.0,19713.0,223.5,session_flatten,2025-04-29
2025-05-01 09:58:00,2025-05-01 10:28:00,-1,19904.75,19998.5,19998.25,19624.25,-188.5,stop,2025-05-01
2025-05-02 09:51:00,2025-05-02 10:03:00,-1,20042.75,20120.25,20120.0,19811.0,-156.0,stop,2025-05-02
2025-05-05 09:54:00,2025-05-05 10:57:00,1,20034.75,20115.0,20008.0,20115.0,159.5,target,2025-05-05
2025-05-12 09:41:00,2025-05-12 09:50:00,-1,20773.5,20803.25,20803.0,20685.0,-60.5,stop,2025-05-12
2025-05-14 09:50:00,2025-05-14 09:51:00,-1,21288.75,21313.75,21313.5,21214.5,-51.0,stop,2025-05-14
2025-05-15 09:57:00,2025-05-15 10:00:00,-1,21285.25,21315.0,21314.75,21196.75,-60.5,stop,2025-05-15
2025-05-16 09:41:00,2025-05-16 09:50:00,-1,21398.25,21444.5,21444.25,21260.25,-93.5,stop,2025-05-16
2025-05-29 09:44:00,2025-05-29 10:07:00,-1,21526.25,21412.25,21564.25,21412.25,227.0,target,2025-05-29
2025-05-30 09:46:00,2025-05-30 10:05:00,-1,21303.75,21336.5,21336.25,21206.25,-66.5,stop,2025-05-30
2025-06-04 09:41:00,2025-06-04 09:43:00,1,21785.75,21768.0,21768.25,21838.25,-36.5,stop,2025-06-04
2025-06-05 09:45:00,2025-06-05 10:26:00,-1,21734.0,21796.0,21795.75,21548.75,-125.0,stop,2025-06-05
2025-06-25 10:18:00,2025-06-25 10:27:00,-1,22478.25,22498.75,22498.5,22417.5,-42.0,stop,2025-06-25
2025-06-30 09:47:00,2025-06-30 09:59:00,-1,22806.0,22829.75,22829.5,22735.5,-48.5,stop,2025-06-30
2025-07-01 09:59:00,2025-07-01 10:15:00,-1,22782.0,22835.5,22835.25,22622.25,-108.0,stop,2025-07-01
2025-07-10 09:52:00,2025-07-10 10:06:00,-1,22985.25,22908.75,23010.75,22908.75,152.0,target,2025-07-10
2025-07-16 09:43:00,2025-07-16 09:48:00,-1,23014.75,23031.25,23031.0,22966.0,-34.0,stop,2025-07-16
2025-07-24 10:26:00,2025-07-24 10:36:00,-1,23330.5,23343.5,23343.25,23292.25,-27.0,stop,2025-07-24
2025-07-28 09:45:00,2025-07-28 09:48:00,1,23513.5,23470.5,23470.75,23641.75,-87.0,stop,2025-07-28
2025-08-01 10:39:00,2025-08-01 12:02:00,-1,22979.75,23023.0,23022.75,22850.75,-87.5,stop,2025-08-01
2025-08-08 09:39:00,2025-08-08 09:45:00,1,23578.75,23617.75,23565.75,23617.75,77.0,target,2025-08-08
2025-08-21 10:09:00,2025-08-21 12:58:00,1,23282.25,23154.75,23155.0,23664.0,-256.0,stop,2025-08-21
2025-08-26 10:00:00,2025-08-26 15:55:00,1,23503.5,23588.5,23426.5,23734.5,169.0,session_flatten,2025-08-26
2025-08-29 09:43:00,2025-08-29 10:04:00,-1,23592.0,23490.0,23626.0,23490.0,203.0,target,2025-08-29
2025-09-01 10:15:00,2025-09-01 10:16:00,1,23487.75,23482.5,23482.75,23502.75,-11.5,stop,2025-09-01
2025-09-03 10:30:00,2025-09-03 10:49:00,1,23453.0,23522.0,23430.0,23522.0,137.0,target,2025-09-03
2025-09-04 10:14:00,2025-09-04 10:24:00,-1,23436.5,23471.25,23471.0,23333.0,-70.5,stop,2025-09-04
2025-09-05 10:00:00,2025-09-05 10:16:00,-1,23825.75,23737.25,23855.25,23737.25,176.0,target,2025-09-05
