strategy,instrument,target_ticks,stop_ticks,split,n_trades,win_rate,avg_win,avg_loss,realized_rr,mean_pnl,skew,kurtosis,max_consec_losses,friction_pct_avg_gross_win
trend_pullback,MES,20,16,holdout,608,0.41776315789473684,22.75,-23.5,0.9680851063829787,-4.178453947368421,0.334314352446114,-1.8944766170197698,10,0.14736842105263157
trend_pullback,MES,25,20,train,888,0.4774774774774775,28.952830188679247,-28.5,1.015888778550149,-1.0675675675675675,0.09159558641800214,-1.9951740119244057,10,0.1168503937007874
trend_pullback,MES,25,20,holdout,608,0.4194078947368421,28.931372549019606,-28.5,1.0151358789129687,-4.412828947368421,0.32896629620093504,-1.8967802057345868,8,0.11693416311824435
trend_pullback,MES,30,24,train,886,0.4751693002257336,35.205463182897866,-33.45967741935484,1.0521758097564076,-0.8321106094808126,0.09961410948439409,-1.9931466406461806,11,0.09667049368541905
trend_pullback,MES,30,24,holdout,606,0.44884488448844884,35.04779411764706,-33.5,1.0462028094820017,-2.732673267326733,0.21096509681045625,-1.9589067110814447,10,0.09709331973482917
time_scalp,MES,10,8,train,1392,0.4432471264367816,10.25,-13.487096774193548,0.7599856493661804,-2.9656968390804597,0.22761275225662536,-1.9502938773408884,13,0.3111111111111111
time_scalp,MES,10,8,holdout,932,0.45064377682403434,10.25,-13.5,0.7592592592592593,-2.7972103004291844,0.19871380976207195,-1.9647336080101163,12,0.3111111111111111
time_scalp,MES,15,12,train,1377,0.4625998547567175,16.5,-18.469594594594593,0.8933601609657948,-2.2926652142338417,0.1486847363595153,-1.979729606780065,11,0.2
time_scalp,MES,15,12,holdout,923,0.4463705308775731,16.472694174757283,-18.451076320939336,0.8927768704779097,-2.8621343445287106,0.21452746696602326,-1.9556411711111352,13,0.20031255426289285
time_scalp,MES,20,16,train,1339,0.467513069454817,22.684105431309906,-23.433380084151473,0.9680253275391407,-1.8728528752800597,0.12985398504955534,-1.9827672956149067,9,0.14777843352162548
time_scalp,MES,20,16,holdout,903,0.43078626799557035,22.75,-23.32247081712062,0.9754541094033493,-3.475083056478405,0.27275245259957176,-1.9249109094215031,12,0.14736842105263157
time_scalp,MES,25,20,train,1295,0.46332046332046334,28.775,-28.26618705035971,1.018000763553067,-1.837837837837838,0.14640355441126246,-1.9726257757401138,9,0.11754827875734677
time_scalp,MES,25,20,holdout,872,0.4380733944954128,28.93128272251309,-28.369897959183675,1.01978804309191,-3.267775229357798,0.24811199888056001,-1.938876861357281,11,0.11693451404832185
